Indx 11
prf 0
TimeToLock 2000
MaxTwstargets 16
Timetosearch1 1996
Timetosearch2 2001
Timetosearch3 2001
Timetoacuire 2001
Timetoguide 1143
Timetocoast 4000
Rangetosearch1 32800
Rangetosearch2 32800
Rangetosearch3 32800
Rangetoacuire 26240
Rangetoguide 19680
Sweeptimesearch1 2000
Sweeptimesearch2 2000
Sweeptimesearch3 2000
Sweeptimeacuire 500
Sweeptimeguide 10
Sweeptimecoast 1500
Timeskillfactor 100
Rwrsoundsearch1 16
Rwrsoundsearch2 16
Rwrsoundsearch3 16
Rwrsoundacuire 16
Rwrsoundguide 16
Rwrsymbolsearch1 17
Rwrsymbolsearch2 17
Rwrsymbolsearch3 17
Rwrsymbolacuire 78
Rwrsymbolguide 78
AirFireRate 3000
Maxmissilesintheair 1
Elevationbumpamounta 10
Elevationbumpamountb 10
AverageSpeed 1500
MaxAngleDiffTws 0.0
MaxRangeDiffTws 0.0
MaxAngleDiffSam 0.0
MaxRangeDiffSam 0.0
MaxNctrRange 364572.66
NctrDelta 0.1
