Indx 16
prf 0 (Not used)

CustomSymbolType 3

TimeToLock 2000
MaxTwstargets 16
Timeskillfactor 100

Timetosearch1 8000
Timetosearch2 4000
Timetosearch3 4000
Timetoacuire 2000
Timetoguide 2000

Timetocoast 4000

Rangetosearch1 72900
Rangetosearch2 72900
Rangetosearch3 72900
Rangetoacuire 54600
Rangetoguide 48600

Sweeptimesearch1 2000
Sweeptimesearch2 2000
Sweeptimesearch3 2000
Sweeptimeacuire 2000
Sweeptimeguide 2000

Sweeptimecoast 1500

Rwrsoundsearch1 212
Rwrsoundsearch2 212
Rwrsoundsearch3 212
Rwrsoundacuire 212
Rwrsoundguide 212

Rwrsymbolsearch1 19
Rwrsymbolsearch2 19
Rwrsymbolsearch3 19
Rwrsymbolacuire 19
Rwrsymbolguide 19

AirFireRate 5000
Maxmissilesintheair 1

AverageSpeed 1500
MaxAngleDiffTws 0.0
MaxRangeDiffTws 0.0
MaxAngleDiffSam 0.0
MaxRangeDiffSam 0.0
MaxNctrRange 0
NctrDelta 0

MinEngagementAlt 56
MinEngagementRange 1800
