Indx 44
prf 2800 (Not used)

CustomSymbolType 2

TimeToLock 1000
MaxTwstargets 1
Timeskillfactor 100

Timetosearch1 3196
Timetosearch2 3201
Timetosearch3 3201
Timetoacuire 3201
Timetoguide 2000

Timetocoast 2000

Rangetosearch1 85000
Rangetosearch2 85000
Rangetosearch3 85000
Rangetoacuire 50000
Rangetoguide 40000

Sweeptimesearch1 1800
Sweeptimesearch2 1800
Sweeptimesearch3 1800
Sweeptimeacuire 500
Sweeptimeguide 10

Sweeptimecoast 1500

Rwrsoundsearch1 294
Rwrsoundsearch2 294
Rwrsoundsearch3 294
Rwrsoundacuire 294
Rwrsoundguide 98

Rwrsymbolsearch1 12
Rwrsymbolsearch2 12
Rwrsymbolsearch3 12
Rwrsymbolacuire 12
Rwrsymbolguide 12

Bandsearch1 H
Bandsearch2 H
Bandsearch3 H
Bandacuire J
Bandguide J

Typesearch1 P
Typesearch2 P
Typesearch3 P
Typeacuire P
Typeguide C

AirFireRate 4000
Maxmissilesintheair 2

Elevationbumpamounta 100
Elevationbumpamountb 5

AverageSpeed 1500
MaxAngleDiffTws 0.0
MaxRangeDiffTws 0.0
MaxAngleDiffSam 0.0
MaxRangeDiffSam 0.0
MaxNctrRange 0
NctrDelta 0

MinEngagementAlt 72
MinEngagementRange 4800
