Indx 45
prf 350 (Not used)

CustomSymbolType 4

TimeToLock 99999
MaxTwstargets 10
Timeskillfactor 100

Timetosearch1 99999
Timetosearch2 99999
Timetosearch3 99999
Timetoacuire 999999
Timetoguide 9999999

Timetocoast 8000

Rangetosearch1 911400
Rangetosearch2 911400
Rangetosearch3 911400
Rangetoacuire 100
Rangetoguide 100

Sweeptimesearch1 1000
Sweeptimesearch2 1000
Sweeptimesearch3 1000
Sweeptimeacuire 1000
Sweeptimeguide 1000

Sweeptimecoast 1000

Rwrsoundsearch1 202
Rwrsoundsearch2 202
Rwrsoundsearch3 202
Rwrsoundacuire 202
Rwrsoundguide 202

Rwrsymbolsearch1 7
Rwrsymbolsearch2 7
Rwrsymbolsearch3 7
Rwrsymbolacuire 7
Rwrsymbolguide 7

Bandsearch1 A
Bandsearch2 A
Bandsearch3 A
Bandacuire A
Bandguide A

Typesearch1 P
Typesearch2 P
Typesearch3 P
Typeacuire P 
Typeguide P 

PRIsearch1 2857
PRIsearch2 2857
PRIsearch3 2857
PRIacuire 2857
PRIguide 2857

TrackWarning 0
LaunchWarning 0
