Indx 97
prf 980 (Not used)

CustomSymbolType 2

TimeToLock 1000
MaxTwstargets 4
Timeskillfactor 100

Timetosearch1 5000
Timetosearch2 5000
Timetosearch3 5000
Timetoacuire 3200
Timetoguide 2000

Timetocoast 1500

Rangetosearch1 250000
Rangetosearch2 250000
Rangetosearch3 250000
Rangetoacuire 197984
Rangetoguide 185216

Sweeptimesearch1 8000
Sweeptimesearch2 6000
Sweeptimesearch3 4000
Sweeptimeacuire 2000
Sweeptimeguide 10

Sweeptimecoast 1500

Rwrsoundsearch1 100
Rwrsoundsearch2 100
Rwrsoundsearch3 100
Rwrsoundacuire 100
Rwrsoundguide 101

Rwrsymbolsearch1 111
Rwrsymbolsearch2 111
Rwrsymbolsearch3 111
Rwrsymbolacuire 111
Rwrsymbolguide 111

Bandsearch1 H
Bandsearch2 H
Bandsearch3 H
Bandacuire H
Bandguide I

Typesearch1 P 
Typesearch2 P
Typesearch3 P
Typeacuire P
Typeguide D

AirFireRate 4000
Maxmissilesintheair 2

Elevationbumpamounta 10
Elevationbumpamountb 1

AverageSpeed 1500
MaxAngleDiffTws 0.0
MaxRangeDiffTws 0.0
MaxAngleDiffSam 0.0
MaxRangeDiffSam 0.0
MaxNctrRange 0
NctrDelta 0

MinEngagementAlt 98
MinEngagementRange 2624
