Indx 9
prf 3500 (Not used)

CustomSymbolType 3

TimeToLock 2000
MaxTwstargets 2
Timeskillfactor 100

Timetosearch1 1000
Timetosearch2 1000
Timetosearch3 1000
Timetoacuire 1000
Timetoguide 1000

Timetocoast 4000

Rangetosearch1 40709
Rangetosearch2 40709
Rangetosearch3 40709
Rangetoacuire 39396
Rangetoguide 30430

Sweeptimesearch1 1000
Sweeptimesearch2 1000
Sweeptimesearch3 1000
Sweeptimeacuire 500
Sweeptimeguide 10

Sweeptimecoast 1500

Rwrsoundsearch1 77
Rwrsoundsearch2 77
Rwrsoundsearch3 77
Rwrsoundacuire 77
Rwrsoundguide 77

Rwrsymbolsearch1 23
Rwrsymbolsearch2 23
Rwrsymbolsearch3 23
Rwrsymbolacuire 23
Rwrsymbolguide 23

Bandsearch1 E
Bandsearch2 E
Bandsearch3 E
Bandacuire E
Bandguide J

Typesearch1 P
Typesearch2 P
Typesearch3 P
Typeacuire P
Typeguide P

PRIsearch1 140
PRIsearch2 140
PRIsearch3 140
PRIacuire 140
PRIguide 280

AirFireRate 25000
Maxmissilesintheair 1

Elevationbumpamounta 140
Elevationbumpamountb 60

AverageSpeed 1500
MaxAngleDiffTws 0.0
MaxRangeDiffTws 0.0
MaxAngleDiffSam 0.0
MaxRangeDiffSam 0.0
MaxNctrRange 0
NctrDelta 0

MinEngagementAlt 53
MinEngagementRange 7898
